Vulnerabilities,Artifacts,VUL_Functions
CVE-2009-2901,org.apache.tomcat:catalina:6.0.18,"org.apache.catalina.loader.WebappClassLoader:setWorkDir(java.io.File);org.apache.catalina.startup.ContextConfig:stop();org.apache.catalina.startup.ExpandWar:expand(org.apache.catalina.Host,java.net.URL,java.lang.String);org.apache.catalina.startup.ExpandWar:deleteDir(java.io.File);org.apache.catalina.startup.ExpandWar:deleteDir(java.io.File);org.apache.catalina.loader.WebappClassLoader:setWorkDir(java.io.File);org.apache.catalina.startup.ExpandWar:expand(java.io.InputStream,java.io.File,java.lang.String);org.apache.catalina.startup.HostConfig:deployWARs(java.io.File,java.lang.String[]);org.apache.catalina.startup.ContextConfig:stop();org.apache.catalina.startup.ExpandWar:delete(java.io.File);org.apache.catalina.startup.HostConfig:deployWARs(java.io.File,java.lang.String[]);org.apache.catalina.startup.ExpandWar:expand(java.io.InputStream,java.io.File,java.lang.String);org.apache.catalina.loader.WebappClassLoader:findResourceInternal(java.lang.String,java.lang.String);org.apache.catalina.startup.ContextConfig:fixDocBase();org.apache.catalina.startup.ExpandWar:expand(org.apache.catalina.Host,java.net.URL,java.lang.String);org.apache.catalina.startup.ExpandWar:delete(java.io.File);org.apache.catalina.loader.WebappClassLoader:findResourceInternal(java.lang.String,java.lang.String);org.apache.catalina.startup.ContextConfig:fixDocBase()"
CVE-2021-21290,io.netty:netty-handler:4.1.45.Final,"io.netty.handler.ssl.util.SelfSignedCertificate:newSelfSignedCertificate(java.lang.String,java.security.PrivateKey,java.security.cert.X509Certificate)"
CVE-2021-3642,org.wildfly.security:wildfly-elytron:1.1.0.Final,"org.wildfly.security.mechanism.scram.ScramServer:parseFinalClientMessage(org.wildfly.security.mechanism.scram.ScramInitialClientMessage,org.wildfly.security.mechanism.scram.ScramInitialServerResult,byte[]);org.wildfly.security.mechanism.scram.ScramServer:evaluateFinalClientMessage(org.wildfly.security.mechanism.scram.ScramInitialServerResult,org.wildfly.security.mechanism.scram.ScramFinalClientMessage)"
CVE-2014-3558,org.hibernate:hibernate-validator:5.0.1.Final,"org.hibernate.validator.internal.metadata.provider.AnnotationMetaDataProvider:getFieldMetaData(java.lang.Class);org.hibernate.validator.internal.xml.ConstrainedGetterBuilder:buildConstrainedGetters(java.util.List,java.lang.Class,java.lang.String,org.hibernate.validator.internal.metadata.core.ConstraintHelper,org.hibernate.validator.internal.metadata.core.AnnotationProcessingOptionsImpl);org.hibernate.validator.internal.util.ReflectionHelper:isArrayClassName(java.lang.String);org.hibernate.validator.internal.util.ReflectionHelper:isQualifiedClass(java.lang.String);org.hibernate.validator.internal.util.annotationfactory.AnnotationFactory:getProxyInstance(java.lang.Class,java.lang.reflect.InvocationHandler);org.hibernate.validator.internal.xml.ValidationXmlParser:unmarshal(java.io.InputStream,javax.xml.validation.Schema);org.hibernate.validator.internal.metadata.core.MetaConstraint:getValue(java.lang.Object);org.hibernate.validator.internal.util.ReflectionHelper:getAnnotationParameter(java.lang.annotation.Annotation,java.lang.String,java.lang.Class);org.hibernate.validator.internal.util.ReflectionHelper:getMember(java.lang.Class,java.lang.String,java.lang.annotation.ElementType);org.hibernate.validator.internal.xml.ConstrainedFieldBuilder:buildConstrainedFields(java.util.List,java.lang.Class,java.lang.String,org.hibernate.validator.internal.metadata.core.ConstraintHelper,org.hibernate.validator.internal.metadata.core.AnnotationProcessingOptionsImpl);org.hibernate.validator.internal.xml.XmlParserHelper:getSchema(java.lang.String);org.hibernate.validator.internal.xml.MetaConstraintBuilder:getGroups(org.hibernate.validator.internal.xml.GroupsType,java.lang.String);org.hibernate.validator.internal.util.ReflectionHelper:getDeclaredFields(java.lang.Class);org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl:buildGroupSet(java.lang.Class);org.hibernate.validator.internal.xml.GroupConversionBuilder:buildGroupConversionMap(java.util.List,java.lang.String);org.hibernate.validator.internal.xml.XmlMappingParser:getValidationConfig(java.io.InputStream,javax.xml.bind.Unmarshaller);org.hibernate.validator.resourceloading.PlatformResourceBundleLocator$GetClassLoader:fromContext();org.hibernate.validator.internal.util.ReflectionHelper:run(java.security.PrivilegedAction);org.hibernate.validator.internal.engine.ValidatorImpl:validateParametersForGroup(org.hibernate.validator.internal.engine.ValidationContext,java.lang.Object[],org.hibernate.validator.internal.engine.groups.Group);org.hibernate.validator.internal.xml.XmlMappingParser:parseConstraintDefinitions(java.util.List,java.lang.String,java.util.Set);org.hibernate.validator.internal.xml.ValidationBootstrapParameters:setMessageInterpolator(java.lang.String);org.hibernate.validator.internal.xml.ConstrainedFieldBuilder:findField(java.lang.Class,java.lang.String,java.util.List);org.hibernate.validator.internal.util.ReflectionHelper:getMethodFromPropertyName(java.lang.Class,java.lang.String);org.hibernate.validator.internal.metadata.core.ConstraintHelper:assertNoParameterStartsWithValid(java.lang.Class);org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl:ensureAttributeIsOverridable(java.lang.reflect.Method,javax.validation.OverridesAttribute);org.hibernate.validator.internal.util.ReflectionHelper:getMethods(java.lang.Class);org.hibernate.validator.internal.xml.MetaConstraintBuilder:getPayload(org.hibernate.validator.internal.xml.PayloadType,java.lang.String);org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl:parseOverrideParameters();org.hibernate.validator.internal.metadata.provider.AnnotationMetaDataProvider:getMethodMetaData(java.lang.Class);org.hibernate.validator.internal.engine.resolver.DefaultTraversableResolver:detectJPA();org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl:buildAnnotationParameterMap(java.lang.annotation.Annotation);org.hibernate.validator.internal.metadata.provider.AnnotationMetaDataProvider:getConstructorMetaData(java.lang.Class);org.hibernate.validator.internal.xml.ConstrainedTypeBuilder:buildConstrainedType(org.hibernate.validator.internal.xml.ClassType,java.lang.Class,java.lang.String,org.hibernate.validator.internal.metadata.core.ConstraintHelper,org.hibernate.validator.internal.metadata.core.AnnotationProcessingOptionsImpl,java.util.Map);org.hibernate.validator.internal.util.classhierarchy.ClassHierarchyHelper:getAllMethods(java.lang.Class);org.hibernate.validator.internal.util.ReflectionHelper:getMethodFromPropertyName(java.lang.Class,java.lang.String);org.hibernate.validator.internal.xml.ValidationBootstrapParameters:setParameterNameProvider(java.lang.String);org.hibernate.validator.internal.metadata.core.ConstraintHelper:assertMessageParameterExists(java.lang.Class);org.hibernate.validator.internal.util.annotationfactory.AnnotationProxy:<init>(org.hibernate.validator.internal.util.annotationfactory.AnnotationDescriptor);org.hibernate.validator.internal.xml.MetaConstraintBuilder:convertStringToReturnType(java.lang.Class,java.lang.String,java.lang.String);org.hibernate.validator.internal.xml.MetaConstraintBuilder:getAnnotationParameterType(java.lang.Class,java.lang.String);org.hibernate.validator.internal.xml.ConstrainedTypeBuilder:createGroupSequence(org.hibernate.validator.internal.xml.GroupSequenceType,java.lang.String);org.hibernate.validator.internal.xml.ConstrainedGetterBuilder:findGetter(java.lang.Class,java.lang.String,java.util.List);org.hibernate.validator.internal.xml.ConstrainedParameterBuilder:buildConstrainedParameters(java.util.List,org.hibernate.validator.internal.metadata.raw.ExecutableElement,java.lang.String,org.hibernate.validator.internal.metadata.core.ConstraintHelper,javax.validation.ParameterNameProvider,org.hibernate.validator.internal.metadata.core.AnnotationProcessingOptionsImpl);org.hibernate.validator.internal.cfg.context.ConfiguredConstraint:forType(org.hibernate.validator.cfg.ConstraintDef,java.lang.Class);org.hibernate.validator.internal.util.ReflectionHelper:getClassLoaderFromClass(java.lang.Class);org.hibernate.validator.internal.util.ReflectionHelper:loadClass(java.lang.String,java.lang.String);org.hibernate.validator.internal.metadata.core.ConstraintHelper:isMultiValueConstraint(java.lang.Class);org.hibernate.validator.internal.metadata.core.ConstraintHelper:assertGroupsParameterExists(java.lang.Class);org.hibernate.validator.internal.cfg.context.ConfiguredConstraint:forProperty(org.hibernate.validator.cfg.ConstraintDef,java.lang.reflect.Member);org.hibernate.validator.internal.xml.ValidationBootstrapParameters:setProviderClass(java.lang.String);org.hibernate.validator.internal.xml.ConstrainedExecutableBuilder:createParameterTypes(java.util.List,java.lang.Class,java.lang.String);org.hibernate.validator.internal.xml.ConstrainedExecutableBuilder:buildConstructorConstrainedExecutable(java.util.List,java.lang.Class,java.lang.String,javax.validation.ParameterNameProvider,org.hibernate.validator.internal.metadata.core.ConstraintHelper,org.hibernate.validator.internal.metadata.core.AnnotationProcessingOptionsImpl);org.hibernate.validator.internal.util.annotationfactory.AnnotationFactory:create(org.hibernate.validator.internal.util.annotationfactory.AnnotationDescriptor);org.hibernate.validator.resourceloading.PlatformResourceBundleLocator$GetClassLoader:fromClass(java.lang.Class);org.hibernate.validator.internal.util.ResourceLoaderHelper:getResettableInputStreamForPath(java.lang.String);org.hibernate.validator.internal.util.annotationfactory.AnnotationProxy:getAnnotationMemberValue(java.lang.annotation.Annotation,java.lang.String);org.hibernate.validator.internal.xml.ValidationBootstrapParameters:setTraversableResolver(java.lang.String);org.hibernate.validator.internal.util.annotationfactory.AnnotationProxy:getAnnotationValues(org.hibernate.validator.internal.util.annotationfactory.AnnotationDescriptor);org.hibernate.validator.internal.engine.ValidatorImpl:collectMetaConstraintsForPath(java.lang.Class,java.lang.Object,java.util.Iterator,org.hibernate.validator.internal.engine.path.PathImpl,java.util.List);org.hibernate.validator.internal.util.ReflectionHelper:getArrayElementClassName(java.lang.String);org.hibernate.validator.internal.metadata.core.ConstraintHelper:isJodaTimeInClasspath();org.hibernate.validator.internal.xml.XmlMappingParser:addValidatorDefinitions(java.lang.Class,org.hibernate.validator.internal.xml.ValidatedByType);org.hibernate.validator.internal.util.ReflectionHelper:getDeclaredConstructors(java.lang.Class);org.hibernate.validator.internal.util.ReflectionHelper:getClassLoaderFromContext();org.hibernate.validator.internal.xml.XmlMappingParser:parse(java.util.Set);org.hibernate.validator.internal.util.ReflectionHelper:setAccessibility(java.lang.reflect.Member);org.hibernate.validator.internal.xml.XmlParserHelper:loadSchema(java.lang.String);org.hibernate.validator.internal.engine.constraintvalidation.ConstraintValidatorFactoryImpl:getInstance(java.lang.Class);org.hibernate.validator.internal.util.ReflectionHelper:getDeclaredMethods(java.lang.Class);org.hibernate.validator.internal.xml.ConstrainedExecutableBuilder:buildMethodConstrainedExecutable(java.util.List,java.lang.Class,java.lang.String,javax.validation.ParameterNameProvider,org.hibernate.validator.internal.metadata.core.ConstraintHelper,org.hibernate.validator.internal.metadata.core.AnnotationProcessingOptionsImpl);org.hibernate.validator.internal.util.ReflectionHelper:loadClass(java.lang.String,java.lang.Class);org.hibernate.validator.internal.util.ReflectionHelper:newInstance(java.lang.Class,java.lang.String);org.hibernate.validator.internal.util.ReflectionHelper:loadClass(java.lang.String,java.lang.String,java.lang.Class);org.hibernate.validator.internal.metadata.core.ConstraintHelper:assertValidationAppliesToParameterSetUpCorrectly(java.lang.Class);org.hibernate.validator.internal.metadata.provider.AnnotationMetaDataProvider:newGroupSequenceProviderClassInstance(java.lang.Class,java.lang.Class);org.hibernate.validator.internal.engine.ValidatorImpl:validateCascadedConstraints(org.hibernate.validator.internal.engine.ValidationContext,org.hibernate.validator.internal.engine.ValueContext);org.hibernate.validator.internal.xml.ValidationBootstrapParameters:setConstraintFactory(java.lang.String);org.hibernate.validator.internal.util.ReflectionHelper:getDeclaredField(java.lang.Class,java.lang.String);org.hibernate.validator.internal.metadata.core.ConstraintHelper:assertPayloadParameterExists(java.lang.Class)"
CVE-2021-42392,com.h2database:h2:1.4.200,org.h2.table.TableLink:readMetaData()
CVE-2018-1271,org.springframework:spring-webmvc:5.0.4.RELEASE,"org.springframework.web.servlet.resource.ResourceHttpRequestHandler:getResource(javax.servlet.http.HttpServletRequest);org.springframework.web.servlet.resource.PathResourceResolver:getResource(java.lang.String,org.springframework.core.io.Resource);org.springframework.web.servlet.resource.PathResourceResolver:shouldEncodeRelativePath(org.springframework.core.io.Resource);org.springframework.web.servlet.resource.PathResourceResolver:isResourceUnderLocation(org.springframework.core.io.Resource,org.springframework.core.io.Resource);org.springframework.web.servlet.resource.ResourceHttpRequestHandler:isInvalidPath(java.lang.String);org.springframework.web.servlet.resource.PathResourceResolver:isResourceUnderLocation(org.springframework.core.io.Resource,org.springframework.core.io.Resource);org.springframework.web.servlet.resource.PathResourceResolver:getResource(java.lang.String,org.springframework.core.io.Resource);org.springframework.web.servlet.resource.ResourceHttpRequestHandler:processPath(java.lang.String)"
CVE-2019-9658,com.puppycrawl.tools:checkstyle:8.12,com.puppycrawl.tools.checkstyle.XmlLoader$FeaturesForVerySecureJavaInstallations:addFeaturesForVerySecureJavaInstallations(javax.xml.parsers.SAXParserFactory);com.puppycrawl.tools.checkstyle.XmlLoader:<init>(java.util.Map);com.puppycrawl.tools.checkstyle.XmlLoader$FeaturesForVerySecureJavaInstallations:<init>()
CVE-2021-43795,com.linecorp.armeria:armeria:1.11.0,"com.linecorp.armeria.internal.common.PathAndQuery:appendHexNibble(java.lang.StringBuilder,int);com.linecorp.armeria.internal.common.PathAndQuery:toString();com.linecorp.armeria.internal.common.PathAndQuery:splitPathAndQuery(java.lang.String);com.linecorp.armeria.server.RoutingResultBuilder:rawParam(java.lang.String,java.lang.String);com.linecorp.armeria.internal.common.PathAndQuery:appendOneByte(com.linecorp.armeria.internal.common.PathAndQuery$Bytes,int,boolean,boolean);com.linecorp.armeria.internal.common.PathAndQuery:pathContainsDoubleDots(com.linecorp.armeria.internal.common.PathAndQuery$Bytes);com.linecorp.armeria.internal.common.PathAndQuery:encodeToPercents(com.linecorp.armeria.internal.common.PathAndQuery$Bytes,boolean);com.linecorp.armeria.internal.common.PathAndQuery:decodePercentsAndEncodeToUtf8(java.lang.String,int,int,boolean);com.linecorp.armeria.internal.common.ArmeriaHttpUtil:decodePath(java.lang.String)"
CVE-2017-5664,org.apache.tomcat:tomcat-catalina:8.0.0-RC1,"org.apache.catalina.servlets.WebdavServlet:service(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)"
CVE-2018-12972,net.opentsdb:opentsdb:2.3.0,net.opentsdb.query.expression.ExpressionIterator:next(long);net.opentsdb.query.expression.ExpressionIterator:next(int)
CVE-2019-18394,org.igniterealtime.openfire:xmppserver:4.2.0,org.jivesoftware.util.FaviconServlet:getImage(java.lang.String)
CVE-2020-5411,org.springframework.batch:spring-batch-core:4.0.0.RELEASE,org.springframework.batch.core.repository.dao.Jackson2ExecutionContextStringSerializer:<init>()
CVE-2011-1088,org.apache.tomcat.embed:tomcat-embed-core:7.0.8,"org.apache.catalina.core.StandardContext:dynamicServletCreated(javax.servlet.Servlet);org.apache.catalina.core.StandardWrapper:loadServlet();org.apache.catalina.core.StandardContext:resetContext();org.apache.catalina.authenticator.AuthenticatorBase:invoke(org.apache.catalina.connector.Request,org.apache.catalina.connector.Response);org.apache.catalina.startup.ContextConfig:authenticatorConfig();org.apache.catalina.startup.Tomcat$FixContextListener:lifecycleEvent(org.apache.catalina.LifecycleEvent);org.apache.catalina.core.StandardContext:dynamicServletAdded(org.apache.catalina.Wrapper)"
CVE-2013-2248,org.apache.struts:struts2-core:2.1.8.1,org.apache.struts2.dispatcher.mapper.DefaultActionMapper:<init>()
CVE-2017-12616,org.apache.tomcat:tomcat-catalina:7.0.27,"org.apache.naming.resources.FileDirContext:unbind(java.lang.String);org.apache.naming.resources.FileDirContext:doLookup(java.lang.String);org.apache.naming.resources.VirtualDirContext:allocate();org.apache.naming.resources.VirtualDirContext:doLookup(java.lang.String);org.apache.naming.resources.VirtualDirContext:list(java.io.File);org.apache.naming.resources.FileDirContext:bind(java.lang.String,java.lang.Object,javax.naming.directory.Attributes);org.apache.naming.resources.FileDirContext:rebind(java.lang.String,java.lang.Object,javax.naming.directory.Attributes);org.apache.naming.resources.FileDirContext:rename(java.lang.String,java.lang.String);org.apache.naming.resources.VirtualDirContext:getAttributes(java.lang.String);org.apache.naming.resources.VirtualDirContext:file(java.lang.String);org.apache.naming.resources.FileDirContext:file(java.lang.String);org.apache.naming.resources.FileDirContext:doGetAttributes(java.lang.String,java.lang.String[]);org.apache.naming.resources.FileDirContext:doListBindings(java.lang.String);org.apache.naming.resources.FileDirContext:createSubcontext(java.lang.String,javax.naming.directory.Attributes)"
CVE-2015-1836,org.apache.hbase:hbase-client:1.0.0,org.apache.hadoop.hbase.zookeeper.ZKUtil:isSecureZooKeeper(org.apache.hadoop.conf.Configuration)
CVE-2016-5007,org.springframework.security:spring-security-config:4.0.4.RELEASE,"org.springframework.security.config.annotation.AbstractConfiguredSecurityBuilder:getSharedObjects();org.springframework.security.config.annotation.web.configurers.ChannelSecurityConfigurer:<init>();org.springframework.security.config.annotation.web.builders.HttpSecurity:requiresChannel();org.springframework.security.config.annotation.web.configurers.ExpressionUrlAuthorizationConfigurer:<init>();org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser:parseInterceptUrlsForFilterInvocationRequestMap(org.springframework.security.config.http.MatcherType,java.util.List,boolean,boolean,org.springframework.beans.factory.xml.ParserContext);org.springframework.security.config.http.HttpConfigurationBuilder:parseInterceptUrlsForChannelSecurity();org.springframework.security.config.annotation.web.configurers.CsrfConfigurer:<init>();org.springframework.security.config.annotation.web.builders.WebSecurity:setApplicationContext(org.springframework.context.ApplicationContext);org.springframework.security.config.annotation.web.builders.HttpSecurity:<init>(org.springframework.security.config.annotation.ObjectPostProcessor,org.springframework.security.config.annotation.authentication.builders.AuthenticationManagerBuilder,java.util.Map);org.springframework.security.config.http.FilterChainBeanDefinitionParser:parse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext);org.springframework.security.config.annotation.web.builders.HttpSecurity:authorizeRequests();org.springframework.security.config.annotation.web.builders.HttpSecurity:csrf();org.springframework.security.config.http.FilterChainMapBeanDefinitionDecorator:decorate(org.w3c.dom.Node,org.springframework.beans.factory.config.BeanDefinitionHolder,org.springframework.beans.factory.xml.ParserContext);org.springframework.security.config.http.HttpSecurityBeanDefinitionParser:createSecurityFilterChainBean(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,java.util.List)"
CVE-2016-6805,org.apache.ignite:ignite-core:1.6.0,org.apache.ignite.internal.processors.cluster.GridUpdateNotifier:getSystemProperties()
CVE-2021-21347,com.thoughtworks.xstream:xstream:1.4.11.1,"com.thoughtworks.xstream.XStream$InternalBlackList:unmarshal(com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.converters.UnmarshallingContext);com.thoughtworks.xstream.XStream:addPermission(com.thoughtworks.xstream.security.TypePermission);com.thoughtworks.xstream.XStream:setupSecurity();com.thoughtworks.xstream.XStream$InternalBlackList:canConvert(java.lang.Class);com.thoughtworks.xstream.XStream$InternalBlackList:marshal(java.lang.Object,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.converters.MarshallingContext);com.thoughtworks.xstream.XStream:unmarshal(com.thoughtworks.xstream.io.HierarchicalStreamReader,java.lang.Object,com.thoughtworks.xstream.converters.DataHolder);com.thoughtworks.xstream.XStream:setupConverters()"
CVE-2016-9487,org.idpf:epubcheck:4.0.1,"com.adobe.epubcheck.ctc.XmlDocParser:readXML(com.adobe.epubcheck.api.Report,java.lang.String,java.io.InputStream,java.lang.String,java.lang.String);com.adobe.epubcheck.opf.OPFPeeker:peek(java.io.InputStream);com.adobe.epubcheck.opf.VersionRetriever:retrieveOpfVersion(java.io.InputStream);com.adobe.epubcheck.ctc.xml.XMLContentDocParser:parseDoc(java.lang.String,org.xml.sax.helpers.DefaultHandler);com.adobe.epubcheck.xml.XMLParser:<init>(com.adobe.epubcheck.opf.ValidationContext)"
CVE-2021-39147,com.thoughtworks.xstream:xstream:1.4.11.1,"com.thoughtworks.xstream.XStreamer:fromXML(com.thoughtworks.xstream.io.HierarchicalStreamDriver,java.io.Reader,com.thoughtworks.xstream.security.TypePermission[]);com.thoughtworks.xstream.XStream:addPermission(com.thoughtworks.xstream.security.TypePermission);com.thoughtworks.xstream.XStreamer:toXML(com.thoughtworks.xstream.XStream,java.lang.Object,java.io.Writer);com.thoughtworks.xstream.XStream:setupSecurity();com.thoughtworks.xstream.XStream:readResolve();com.thoughtworks.xstream.XStream:unmarshal(com.thoughtworks.xstream.io.HierarchicalStreamReader,java.lang.Object,com.thoughtworks.xstream.converters.DataHolder);com.thoughtworks.xstream.XStream:setupDefaultSecurity(com.thoughtworks.xstream.XStream)"
CVE-2018-1259,org.springframework.data:spring-data-commons:1.13.7.RELEASE,"org.springframework.data.web.XmlBeamHttpMessageConverter:<init>();org.springframework.data.web.config.SpringDataWebConfiguration:extendMessageConverters(java.util.List);org.springframework.data.web.XmlBeamHttpMessageConverter:readInternal(java.lang.Class,org.springframework.http.HttpInputMessage)"
CVE-2019-7722,net.sourceforge.pmd:pmd-core:5.8.1,"net.sourceforge.pmd.RuleSetFactory:parsePropertyNodeBR(net.sourceforge.pmd.Rule,org.w3c.dom.Node);net.sourceforge.pmd.RuleSetFactory:parseRuleSetNode(net.sourceforge.pmd.RuleSetReferenceId,boolean);net.sourceforge.pmd.RuleSetFactory:containsRule(net.sourceforge.pmd.RuleSetReferenceId,java.lang.String)"
CVE-2022-24289,org.apache.cayenne:cayenne-server:4.2.M3,"org.apache.cayenne.map.DataMap:encodeDbRelationshipsAsXML(org.apache.cayenne.util.XMLEncoder,org.apache.cayenne.configuration.ConfigurationNodeVisitor);org.apache.cayenne.map.DataMap:encodeObjRelationshipsAsXML(org.apache.cayenne.util.XMLEncoder,org.apache.cayenne.configuration.ConfigurationNodeVisitor)"
CVE-2017-7561,org.jboss.resteasy:resteasy-jaxrs:3.0.19.Final,"org.jboss.resteasy.plugins.interceptors.CorsFilter:filter(javax.ws.rs.container.ContainerRequestContext,javax.ws.rs.container.ContainerResponseContext);org.jboss.resteasy.plugins.interceptors.CorsFilter:preflight(java.lang.String,javax.ws.rs.container.ContainerRequestContext)"
CVE-2017-5656,org.apache.cxf:cxf-rt-ws-security:3.0.5,"org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenOutInterceptor:retrieveCachedToken(org.apache.cxf.message.Message);org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenInInterceptor:handleMessage(org.apache.cxf.message.Message);org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenInInterceptor:findBinarySecurityTokenResults(java.util.List);org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenOutInterceptor:issueToken(org.apache.cxf.message.Message,org.apache.cxf.ws.policy.AssertionInfoMap,org.apache.wss4j.policy.model.IssuedToken);org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenInInterceptor:parseHandlerResults(org.apache.wss4j.dom.handler.WSHandlerResult,org.apache.cxf.message.Message,java.util.Collection);org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenOutInterceptor:renewToken(org.apache.cxf.message.Message,org.apache.cxf.ws.policy.AssertionInfoMap,org.apache.wss4j.policy.model.IssuedToken,org.apache.cxf.ws.security.tokenstore.SecurityToken);org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenOutInterceptor:handleDelegation(org.apache.cxf.message.Message,org.w3c.dom.Element,org.w3c.dom.Element,java.lang.String,boolean);org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenOutInterceptor:handleMessage(org.apache.cxf.message.Message);org.apache.cxf.ws.security.policy.interceptors.IssuedTokenInterceptorProvider$IssuedTokenOutInterceptor:getIdFromToken(org.w3c.dom.Element)"
CVE-2016-8739,org.apache.cxf:cxf-rt-rs-extension-providers:3.1.7,"org.apache.cxf.jaxrs.provider.atom.AbstractAtomProvider:readFrom(java.lang.Class,java.lang.reflect.Type,java.lang.annotation.Annotation[],javax.ws.rs.core.MediaType,javax.ws.rs.core.MultivaluedMap,java.io.InputStream)"
CVE-2013-6430,org.springframework:spring-web:3.0.5.RELEASE,org.springframework.web.util.JavaScriptUtils:javaScriptEscape(java.lang.String);org.springframework.web.util.JavaScriptUtils:javaScriptEscape(java.lang.String)
CVE-2018-1317,org.apache.zeppelin:zeppelin-zengine:0.7.3,org.apache.zeppelin.notebook.Note:runAll()
CVE-2016-1000341,org.bouncycastle:bcprov-jdk15on:1.54,org.bouncycastle.crypto.signers.DSASigner:generateSignature(byte[])
CVE-2016-8747,org.apache.tomcat:tomcat-coyote:8.5.9,org.apache.coyote.http11.Http11InputBuffer:nextRequest()
CVE-2021-44228,org.apache.logging.log4j:log4j-core:2.13.3,"org.apache.logging.log4j.core.net.JndiManager$JndiManagerFactory:createManager(java.lang.String,java.util.Properties);org.apache.logging.log4j.core.net.JndiManager:lookup(java.lang.String);org.apache.logging.log4j.core.appender.mom.JmsAppender$Builder:build();org.apache.logging.log4j.core.appender.mom.JmsAppender$Builder:toString();org.apache.logging.log4j.core.net.JndiManager:<init>(java.lang.String,javax.naming.Context)"
CVE-2017-9795,org.apache.geode:geode-core:1.2.1,"org.apache.geode.cache.query.internal.CompiledSelect:getFieldTypeOfProjAttrib(org.apache.geode.cache.query.internal.ExecutionContext,org.apache.geode.cache.query.internal.CompiledValue);org.apache.geode.cache.query.internal.PathUtils:calculateTypesAlongPath(org.apache.geode.cache.query.types.ObjectType,java.lang.String[]);org.apache.geode.cache.query.internal.AttributeDescriptor:getReadMember(org.apache.geode.cache.query.types.ObjectType);org.apache.geode.cache.query.internal.CompiledPath:evaluate(org.apache.geode.cache.query.internal.ExecutionContext);org.apache.geode.cache.query.internal.AttributeDescriptor:<init>(java.lang.String);org.apache.geode.cache.query.internal.AttributeDescriptor:getReadMethod(java.lang.Class);org.apache.geode.cache.query.internal.AttributeDescriptor:getReadMethod(java.lang.Class,java.lang.String);org.apache.geode.cache.query.internal.RuntimeIterator:containsProperty(java.lang.String,int,boolean);org.apache.geode.cache.query.internal.MethodDispatch:invoke(java.lang.Object,java.util.List);org.apache.geode.cache.query.internal.CompiledIteratorDef:getRuntimeIterator(org.apache.geode.cache.query.internal.ExecutionContext);org.apache.geode.internal.cache.GemFireCacheImpl:getQueryService();org.apache.geode.cache.query.internal.AttributeDescriptor:readReflection(java.lang.Object);org.apache.geode.cache.query.internal.ExecutionContext:resolveImplicitOperationName(java.lang.String,int,boolean);org.apache.geode.cache.query.internal.DefaultQueryService:<init>(org.apache.geode.internal.cache.InternalCache);org.apache.geode.internal.cache.xmlcache.CacheCreation:getQueryService();org.apache.geode.cache.query.internal.AttributeDescriptor:getReadMember(java.lang.Class);org.apache.geode.cache.query.internal.CompiledOperation:eval0(java.lang.Object,java.lang.Class,org.apache.geode.cache.query.internal.ExecutionContext);org.apache.geode.cache.query.internal.MethodDispatch:<init>(java.lang.Class,java.lang.String,java.util.List);org.apache.geode.cache.query.internal.PathUtils:computeElementTypeOfExpression(org.apache.geode.cache.query.internal.ExecutionContext,org.apache.geode.cache.query.internal.CompiledValue);org.apache.geode.cache.query.internal.PathUtils:evaluateAttribute(java.lang.Object,java.lang.String)"
CVE-2014-0107,xalan:xalan:2.7.1,"org.apache.xalan.transformer.TransformerImpl:setExtensionsTable(org.apache.xalan.templates.StylesheetRoot);org.apache.xalan.processor.XSLTElementProcessor:setPropertiesFromAttributes(org.apache.xalan.processor.StylesheetHandler,java.lang.String,org.xml.sax.Attributes,org.apache.xalan.templates.ElemTemplateElement,boolean);org.apache.xalan.processor.TransformerFactoryImpl:getAssociatedStylesheet(javax.xml.transform.Source,java.lang.String,java.lang.String,java.lang.String);org.apache.xpath.functions.FuncSystemProperty:execute(org.apache.xpath.XPathContext)"
